timestamp,floor,zone,category,power_watt,kwh
2025-03-01 00:00:00,1,Lobby,AC,695.01,0.695
2025-03-01 00:00:00,1,Lobby,LIGHTING,105.75,0.106
2025-03-01 00:00:00,1,Lobby,IT,63.66,0.064
2025-03-01 00:00:00,1,Lobby,ELEVATOR,518.95,0.519
2025-03-01 00:00:00,1,Lobby,OTHER,64.43,0.064
2025-03-01 00:00:00,2,HR,AC,657.16,0.657
2025-03-01 00:00:00,2,HR,LIGHTING,139.95,0.14
2025-03-01 00:00:00,2,HR,IT,110.84,0.111
2025-03-01 00:00:00,2,HR,OTHER,38.68,0.039
2025-03-01 00:00:00,3,IT,AC,647.54,0.648
2025-03-01 00:00:00,3,IT,LIGHTING,108.88,0.109
2025-03-01 00:00:00,3,IT,IT,66.53,0.067
2025-03-01 00:00:00,3,IT,ELEVATOR,685.94,0.686
2025-03-01 00:00:00,3,IT,OTHER,20.02,0.02
2025-03-01 00:00:00,4,Legal,AC,712.1,0.712
2025-03-01 00:00:00,4,Legal,LIGHTING,146.34,0.146
2025-03-01 00:00:00,4,Legal,IT,109.35,0.109
2025-03-01 00:00:00,4,Legal,OTHER,57.9,0.058
2025-03-01 00:00:00,5,Finance,AC,623.73,0.624
2025-03-01 00:00:00,5,Finance,LIGHTING,87.49,0.087
2025-03-01 00:00:00,5,Finance,IT,110.51,0.111
2025-03-01 00:00:00,5,Finance,OTHER,61.23,0.061
2025-03-01 00:00:00,6,Marketing,AC,763.91,0.764
2025-03-01 00:00:00,6,Marketing,LIGHTING,146.48,0.146
2025-03-01 00:00:00,6,Marketing,IT,131.87,0.132
2025-03-01 00:00:00,6,Marketing,OTHER,35.55,0.036
2025-03-01 00:00:00,7,Management,AC,742.76,0.743
2025-03-01 00:00:00,7,Management,LIGHTING,113.2,0.113
2025-03-01 00:00:00,7,Management,IT,84.01,0.084
2025-03-01 00:00:00,7,Management,OTHER,69.95,0.07
2025-03-01 00:00:00,8,Executive Office,AC,690.69,0.691
2025-03-01 00:00:00,8,Executive Office,LIGHTING,98.76,0.099
2025-03-01 00:00:00,8,Executive Office,IT,110.94,0.111
2025-03-01 00:00:00,8,Executive Office,OTHER,66.21,0.066
2025-03-01 01:00:00,1,Lobby,AC,719.92,0.72
2025-03-01 01:00:00,1,Lobby,LIGHTING,136.53,0.137
2025-03-01 01:00:00,1,Lobby,IT,84.57,0.085
2025-03-01 01:00:00,1,Lobby,ELEVATOR,624.83,0.625
2025-03-01 01:00:00,1,Lobby,OTHER,24.84,0.025
2025-03-01 01:00:00,2,HR,AC,628.85,0.629
2025-03-01 01:00:00,2,HR,LIGHTING,124.14,0.124
